ImageFile,BitSequenceFile,Payload,BitSequenceLength,OriginalBitChange,OptimizedBitChange,OptimizedNum,TimeTaken
yagate_gs.png,bit_sequence_payload-0-0.txt,0,0,0,0,0,0.009001732
yagate_gs.png,bit_sequence_payload-0-1.txt,0,0,0,0,0,0.009999037
yagate_gs.png,bit_sequence_payload-0-10.txt,0,0,0,0,0,0.006008148
yagate_gs.png,bit_sequence_payload-0-11.txt,0,0,0,0,0,0.004999876
yagate_gs.png,bit_sequence_payload-0-12.txt,0,0,0,0,0,0.004505634
yagate_gs.png,bit_sequence_payload-0-13.txt,0,0,0,0,0,0.005003214
yagate_gs.png,bit_sequence_payload-0-14.txt,0,0,0,0,0,0.004997253
yagate_gs.png,bit_sequence_payload-0-15.txt,0,0,0,0,0,0.003994942
yagate_gs.png,bit_sequence_payload-0-16.txt,0,0,0,0,0,0.004000425
yagate_gs.png,bit_sequence_payload-0-17.txt,0,0,0,0,0,0.002001286
yagate_gs.png,bit_sequence_payload-0-18.txt,0,0,0,0,0,0.004000664
yagate_gs.png,bit_sequence_payload-0-19.txt,0,0,0,0,0,0.002999544
yagate_gs.png,bit_sequence_payload-0-2.txt,0,0,0,0,0,0.005001068
yagate_gs.png,bit_sequence_payload-0-3.txt,0,0,0,0,0,0.007000208
yagate_gs.png,bit_sequence_payload-0-4.txt,0,0,0,0,0,0.004000425
yagate_gs.png,bit_sequence_payload-0-5.txt,0,0,0,0,0,0.007000923
yagate_gs.png,bit_sequence_payload-0-6.txt,0,0,0,0,0,0.003998756
yagate_gs.png,bit_sequence_payload-0-7.txt,0,0,0,0,0,0.00399971
yagate_gs.png,bit_sequence_payload-0-8.txt,0,0,0,0,0,0.004975796
yagate_gs.png,bit_sequence_payload-0-9.txt,0,0,0,0,0,0.003999949
yagate_gs.png,bit_sequence_payload-1-0.txt,1,40,17,12,5,0.114207029
yagate_gs.png,bit_sequence_payload-1-1.txt,1,40,24,12,12,0.053014755
yagate_gs.png,bit_sequence_payload-1-10.txt,1,40,16,11,5,0.034999609
yagate_gs.png,bit_sequence_payload-1-11.txt,1,40,25,13,12,0.047005415
yagate_gs.png,bit_sequence_payload-1-12.txt,1,40,17,12,5,0.0345819
yagate_gs.png,bit_sequence_payload-1-13.txt,1,40,16,12,4,0.031999111
yagate_gs.png,bit_sequence_payload-1-14.txt,1,40,17,12,5,0.048442602
yagate_gs.png,bit_sequence_payload-1-15.txt,1,40,23,14,9,0.072947979
yagate_gs.png,bit_sequence_payload-1-16.txt,1,40,16,12,4,0.040323019
yagate_gs.png,bit_sequence_payload-1-17.txt,1,40,15,13,2,0.051034451
yagate_gs.png,bit_sequence_payload-1-18.txt,1,40,25,10,15,0.03825736
yagate_gs.png,bit_sequence_payload-1-19.txt,1,40,22,14,8,0.097532511
yagate_gs.png,bit_sequence_payload-1-2.txt,1,40,16,12,4,0.045166492
yagate_gs.png,bit_sequence_payload-1-3.txt,1,40,25,13,12,0.050580263
yagate_gs.png,bit_sequence_payload-1-4.txt,1,40,17,13,4,0.059085369
yagate_gs.png,bit_sequence_payload-1-5.txt,1,40,17,9,8,0.034280777
yagate_gs.png,bit_sequence_payload-1-6.txt,1,40,10,13,-3,0.03858304
yagate_gs.png,bit_sequence_payload-1-7.txt,1,40,21,13,8,0.063610554
yagate_gs.png,bit_sequence_payload-1-8.txt,1,40,18,8,10,0.029246569
yagate_gs.png,bit_sequence_payload-1-9.txt,1,40,20,13,7,0.049981117
yagate_gs.png,bit_sequence_payload-2-0.txt,2,81,45,28,17,0.155533791
yagate_gs.png,bit_sequence_payload-2-1.txt,2,81,45,30,15,0.125688791
yagate_gs.png,bit_sequence_payload-2-10.txt,2,81,46,31,15,0.159061193
yagate_gs.png,bit_sequence_payload-2-11.txt,2,81,34,29,5,0.157516241
yagate_gs.png,bit_sequence_payload-2-12.txt,2,81,41,28,13,0.176111221
